model,config,mean_elbow_mae_mpa,std_elbow_mae_mpa,n_seeds
M6,"MoE, no refinement",127.16603394586795,55.64285068179469,5
M7,MoE + refinement,127.16603394586795,55.64285068179469,5
M8,MoE + UQ reward,127.16603394586795,55.64285068179469,5
